SKR X KAFKA | 1ª FASE | 52ª GUERRA DO FLOW 2023
ALINE X NB | 1ª FASE | 52ª GUERRA DO FLOW 2023
ESTELAR X JHON | 1ª FASE | 52ª GUERRA DO FLOW 2023
FROES X GPS | 1ª FASE | 52ª GUERRA DO FLOW 2023
HIQUE X GUÊ | 1ª FASE | 52ª GUERRA DO FLOW 2023
TAZZ X MELANINA | 1ª FASE | 52ª GUERRA DO FLOW 2023
JP X RD | 1ª FASE | 52ª GUERRA DO FLOW 2023
FLAJOLA X ANAKA X SALES | 1ª FASE | 52ª GUERRA DO FLOW 2023
ALINE X SKR | 2ª FASE | 52ª GUERRA DO FLOW 2023
GPS X JP | 2ª FASE | 52ª GUERRA DO FLOW 2023
HIQUE X ANAKA | 2ª FASE | 52ª GUERRA DO FLOW 2023
MELANINA X JHON | 2ª FASE | 52ª GUERRA DO FLOW 2023
JHON X HIQUE | SEMIFINAL | 52ª GUERRA DO FLOW 2023
ALINE X JP | SEMIFINAL | 52ª GUERRA DO FLOW 2023
JP X JHON | FINAL🔥 | 52ª GUERRA DO FLOW 2023
